donor_id,day_of_week,hour_of_day,past_avg_quantity,surplus_quantity
2,0,16,40.82,40.04
2,5,22,65.82,76.99
1,0,15,27.02,25.37
9,1,22,45.79,49.36
5,6,12,44.12,45.08
7,2,16,38.12,38.51
6,0,13,10.97,8.28
6,4,16,9.73,13.42
9,0,20,45.59,53.58
10,6,19,14.91,12.55
1,5,15,30.69,36.05
4,6,13,81.13,78.0
6,1,19,11.76,7.71
2,4,14,64.76,63.17
8,3,16,19.86,23.57
9,1,19,42.83,47.38
4,6,12,78.57,80.86
2,1,19,41.72,40.68
8,1,16,21.91,22.64
9,2,20,44.09,53.77
4,1,22,50.1,53.31
2,1,14,38.48,40.68
2,3,20,39.04,43.69
5,4,12,44.33,44.48
9,6,16,61.64,63.27
5,3,14,31.07,24.06
5,4,14,44.97,43.82
5,6,22,44.45,50.63
3,4,22,19.01,25.95
8,0,13,18.67,24.63
5,1,12,31.94,30.19
2,0,21,36.21,48.78
9,6,14,64.23,64.96
9,1,16,44.65,41.64
4,4,15,78.53,79.42
6,3,22,10.34,9.7
2,2,12,39.43,38.46
4,0,13,49.5,49.77
2,0,19,40.48,41.66
8,1,22,22.59,26.94
10,4,21,17.7,18.52
7,1,13,35.91,37.18
7,3,21,34.62,40.8
2,0,20,37.33,45.39
2,1,15,41.52,41.0
7,1,16,35.71,30.05
2,3,22,41.26,48.97
9,6,12,62.34,68.6
4,1,20,50.09,55.77
7,0,14,38.0,29.74
5,6,21,47.26,50.9
9,5,21,64.04,73.63
1,4,22,35.49,42.26
1,4,21,34.95,35.36
3,0,22,15.46,18.65
10,0,15,14.03,7.1
10,1,12,10.93,10.09
10,4,22,17.07,17.61
6,1,16,11.36,7.04
5,3,19,28.48,35.28
1,3,13,25.46,26.55
5,1,19,27.9,33.77
6,2,14,10.71,7.1
5,4,22,45.14,56.35
5,5,13,44.7,46.24
2,0,22,41.01,47.14
4,5,19,82.04,81.02
5,4,21,48.28,51.71
1,0,20,24.6,29.11
6,6,14,11.11,10.73
8,4,20,27.73,31.07
3,4,12,18.29,21.67
3,3,14,15.37,17.3
1,2,15,22.98,23.47
